Name,Age,Married/Single,Experience,Profession,CURRENT_JOB_YRS,House_Ownership,Car_Ownership,CURRENT_HOUSE_YRS,income,City,State
Kimberly Watson,27,0,34,30,2,0,0,19,47769.13,Alexanderview,Kentucky
John Wyatt,28,0,28,29,13,0,0,1,86596.1,Susanbury,Kansas
Eugene Shepard,62,1,15,50,8,0,0,24,131375.8,South Vernon,Maryland
Andrea Bryan,58,0,33,42,16,0,1,2,124966.14,Wilsonstad,Iowa
Darlene Smith,35,1,1,38,17,0,1,5,10170.29,Port Donnaview,New Jersey
Douglas Pierce,54,0,45,32,7,1,0,16,56634.93,Jamesport,West Virginia
Dr. Eric Bennett MD,35,0,33,25,1,2,1,14,53643.12,Derrickfurt,West Virginia
Jacob Johnson,22,0,40,49,4,1,0,21,72248.68,Garciabury,Maine
Shane Ramos,31,0,30,7,2,0,1,4,59569.99,Terrimouth,South Dakota
Amy Palmer,51,0,21,42,3,1,0,12,115849.28,Leeside,Kentucky
Ricky Sanchez,53,1,28,45,11,1,0,19,126343.1,New Cynthia,Nevada
Stacey Hall,38,0,49,40,12,0,1,23,54105.79,Kevinmouth,Virginia
Daniel Higgins,21,1,8,12,4,2,1,24,143016.81,Christopherville,Montana
Jacob Spencer,48,0,18,0,17,1,1,3,136890.7,Lake Josephton,Delaware
John Taylor,27,0,3,18,9,0,1,2,64225.93,Lake Isaiahburgh,Oregon
Sarah Diaz,65,1,36,3,13,0,0,9,107392.97,East Tammy,Illinois
Daniel Cannon,24,0,41,36,9,0,0,20,107224.13,Bonillamouth,Idaho
Robert Hooper,50,1,16,27,4,2,1,14,32114.75,Lake Scott,Colorado
Joel Carroll,68,0,12,9,15,0,1,9,114313.85,Romeroside,Mississippi
Jessica Glenn,20,0,6,8,8,0,1,5,78063.55,Port Scott,Massachusetts
Jennifer Cowan,63,0,44,8,14,1,1,8,120298.16,Johnsonchester,Montana
Alexis Woodward,25,0,46,35,4,2,1,30,60166.5,Huffmanburgh,Ohio
Amy Romero,60,0,2,23,12,1,1,8,104191.82,East Jennifer,California
Tara Perry,52,1,20,24,3,1,0,27,29433.98,East Daniel,Pennsylvania
Robert Gallagher,30,1,33,40,11,0,1,12,38934.15,Baileyfurt,New Jersey
Michelle Davis,47,0,8,27,20,0,1,5,44150.92,Jamesmouth,Connecticut
Angela Jones,59,1,44,4,8,1,1,8,127712.0,New Kylestad,Kentucky
Wendy Patterson,44,1,9,46,5,1,1,27,87177.92,Guerreroland,Montana
Jennifer Best,20,0,42,12,15,1,0,2,66379.92,Alexandratown,Mississippi
Christopher Brown,59,1,10,22,15,1,0,10,74187.17,Morrisonhaven,North Dakota
Andrew Boyd,55,1,19,0,8,0,1,24,39811.6,South Diana,New Mexico
Isaac Huang,56,0,47,23,19,2,0,18,134299.52,Markstad,Wyoming
Wayne Patton,31,1,15,39,6,0,0,30,19181.46,Benjaminfort,Illinois
Scott White,55,1,39,26,13,1,1,12,29210.5,Frankshire,South Carolina
Mary Blake,23,0,37,48,19,2,1,21,137549.42,Port Richard,Iowa
Michael Lopez,19,1,24,38,2,0,0,9,26445.87,New Paul,Connecticut
John Rangel,34,0,20,36,6,1,1,28,148087.85,Kellyland,Montana
Julie Bradley,50,1,27,22,17,1,1,19,145158.58,Christopherside,Texas
Jonathan Davis,41,1,36,23,17,0,1,9,90234.04,South Cynthia,Arizona
John Nelson,61,1,24,26,14,0,0,30,16330.08,Port Shannon,Tennessee
Kenneth Herrera,54,0,34,42,18,1,0,4,11353.8,Nielsenberg,Oregon
Terrence Hernandez,64,1,15,43,8,2,1,25,100965.84,New Ricardomouth,Arizona
James Martinez,57,0,31,40,14,2,0,27,65832.02,Brandonchester,Indiana
Vincent Davis,70,1,18,33,17,1,1,3,27461.22,New Brittanyburgh,Ohio
April Strickland,35,1,39,2,20,2,1,21,125576.87,Heatherborough,Iowa
Daniel Brooks,53,1,2,20,13,1,1,29,122397.89,Port Russellchester,Massachusetts
Spencer Gomez,67,1,5,3,15,1,1,13,136809.75,Jacksonmouth,Idaho
Luke Scott,25,0,8,40,1,2,1,29,48638.83,New Brittney,Kentucky
Melissa Flores,49,1,32,13,13,2,0,15,111785.06,Ericbury,New Mexico
Tonya Reyes,62,0,13,50,1,0,1,8,132438.11,New Stevefort,Maryland
Paul Henry,22,0,18,26,20,1,0,13,48057.6,East Christopherton,Ohio
Kyle Martin,49,1,50,27,18,1,0,7,43145.72,Crawfordport,Tennessee
Luke Powell,46,0,15,22,1,1,1,16,28349.76,North Patricialand,Washington
Natalie Marquez,68,1,26,35,16,0,1,20,63859.24,Port Steven,West Virginia
Kelli Zimmerman,33,0,43,10,5,2,1,1,124891.38,Leeland,Texas
Timothy Cordova,34,0,18,16,14,2,0,15,140000.0,East Ray,Idaho
Julie Bennett,46,0,30,18,3,0,0,19,64823.94,West Sean,Vermont
Steven Allen,40,0,33,21,5,2,1,29,123220.62,Joseshire,Maine
Lauren Palmer,26,0,21,20,16,0,0,14,128499.4,East Kevin,Pennsylvania
Sarah Adams,52,1,33,38,4,1,0,19,58770.28,Crossmouth,Montana
Raymond Richardson,32,0,48,29,7,0,0,27,88806.75,West Sherry,Michigan
Megan Wallace,21,1,48,46,2,2,1,17,142906.94,Port Marc,Colorado
Danielle Hendricks,53,0,18,21,7,0,0,9,104265.52,Port Tonytown,North Dakota
Alisha Coleman,30,0,49,19,18,1,0,25,133346.5,Grossfurt,Hawaii
Eddie Smith,23,0,48,37,13,0,1,24,20943.73,New Rodneyborough,Massachusetts
Tammie Smith,26,1,25,30,19,0,1,9,141355.89,Wallacebury,New Jersey
Tammy Phillips,45,1,47,29,11,0,0,5,23026.0,New Jennifer,Alaska
Lisa Collins,58,0,37,20,6,1,0,22,58478.65,Jamesshire,West Virginia
Julie Johnson,58,0,45,48,4,0,1,26,132494.48,Port Francisco,Maryland
